age,education.num,capital.gain_log,capital.loss_log,hours.per.week,net_capital_log,work_intensity,is_full_time,has_capital_gain,has_capital_loss,sex_encoded,country_freq_encoded,income_encoded
90.0,9.0,0.0,8.379539026117442,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
82.0,9.0,0.0,8.379539026117442,18.0,0.0,0.45,0,0,1,0,0.9137618623506649,0
66.0,10.0,0.0,8.379539026117442,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
54.0,4.0,0.0,8.268988209506656,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
41.0,10.0,0.0,8.268988209506656,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
34.0,9.0,0.0,8.235095497258357,45.0,0.0,1.125,1,0,1,0,0.9137618623506649,0
38.0,6.0,0.0,8.235095497258357,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,0
74.0,16.0,0.0,8.211754397375197,20.0,0.0,0.5,0,0,1,0,0.9137618623506649,1
68.0,9.0,0.0,8.211754397375197,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
41.0,10.0,0.0,8.008032846969307,60.0,0.0,1.5,1,0,1,1,0.9137618623506649,1
45.0,16.0,0.0,8.008032846969307,35.0,0.0,0.875,1,0,1,0,0.9137618623506649,1
38.0,15.0,0.0,7.946263643580541,45.0,0.0,1.125,1,0,1,1,0.9137618623506649,1
52.0,13.0,0.0,7.946263643580541,20.0,0.0,0.5,0,0,1,0,0.9137618623506649,1
32.0,14.0,0.0,7.946263643580541,55.0,0.0,1.375,1,0,1,1,0.9137618623506649,1
51.0,16.0,0.0,7.946263643580541,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,1
46.0,15.0,0.0,7.946263643580541,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,1
45.0,7.0,0.0,7.946263643580541,76.0,0.0,1.9,1,0,1,1,0.9137618623506649,1
57.0,14.0,0.0,7.946263643580541,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
22.0,12.0,0.0,7.946263643580541,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,1
34.0,13.0,0.0,7.946263643580541,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
37.0,13.0,0.0,7.946263643580541,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,1
29.0,7.0,0.0,7.9211727215870145,42.0,0.0,1.05,1,0,1,0,0.9137618623506649,0
61.0,9.0,0.0,7.9211727215870145,25.0,0.0,0.625,0,0,1,0,0.9137618623506649,0
51.0,10.0,0.0,7.86480400332846,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,0
61.0,9.0,0.0,7.86480400332846,32.0,0.0,0.8,0,0,1,1,0.9137618623506649,0
21.0,11.0,0.0,7.86480400332846,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,0
33.0,2.0,0.0,7.86480400332846,32.0,0.0,0.8,0,0,1,1,0.019747550750898315,0
49.0,3.0,0.0,7.86480400332846,40.0,0.0,1.0,1,0,1,1,0.0008906360369767513,0
37.0,6.0,0.0,7.847762537473608,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
38.0,6.0,0.0,7.847762537473608,90.0,0.0,2.25,1,0,1,1,0.9137618623506649,1
23.0,10.0,0.0,7.847762537473608,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,1
59.0,6.0,0.0,7.847762537473608,50.0,0.0,1.25,1,0,1,0,0.9137618623506649,1
52.0,15.0,0.0,7.847762537473608,60.0,0.0,1.5,1,0,1,1,0.9137618623506649,1
51.0,13.0,0.0,7.847762537473608,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
60.0,9.0,0.0,7.847762537473608,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
63.0,16.0,0.0,7.847762537473608,60.0,0.0,1.5,1,0,1,0,0.9137618623506649,1
53.0,9.0,0.0,7.847762537473608,48.0,0.0,1.2,1,0,1,1,0.9137618623506649,1
51.0,15.0,0.0,7.847762537473608,50.0,0.0,1.25,1,0,1,0,0.9137618623506649,1
37.0,16.0,0.0,7.847762537473608,60.0,0.0,1.5,1,0,1,0,0.9137618623506649,1
54.0,14.0,0.0,7.847762537473608,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,1
44.0,13.0,0.0,7.843064016692054,50.0,0.0,1.25,1,0,1,1,0.9137618623506649,1
43.0,14.0,0.0,7.843064016692054,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,1
51.0,10.0,0.0,7.843064016692054,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,1
43.0,14.0,0.0,7.843064016692054,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,1
71.0,9.0,0.0,7.820037989458753,15.0,0.0,0.375,0,0,1,1,0.9137618623506649,0
48.0,13.0,0.0,7.813187267521416,70.0,0.0,1.75,1,0,1,0,0.9137618623506649,1
71.0,9.0,0.0,7.811163385025279,52.0,0.0,1.3,1,0,1,1,0.9137618623506649,0
73.0,9.0,0.0,7.80710329012598,40.0,0.0,1.0,1,0,1,1,0.002057676361291115,0
68.0,10.0,0.0,7.80710329012598,40.0,0.0,1.0,1,0,1,0,0.9137618623506649,0
67.0,10.0,0.0,7.80710329012598,40.0,0.0,1.0,1,0,1,1,0.9137618623506649,0
40.0,15.0,0.0,7.801800401908973,45.0,0.0,1.125,1,0,1,1,0.9137618623506649,1
50.0,9.0,0.0,7.801800401908973,72.0,0.0,1.8,1,0,1,0,0.9137618623506649,1
51.0,11.0,0.0,7.801800401908973,39.0,0.0,0.975,1,0,1,1,0.9137618623506649,1
