age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,net_capital,has_capital_gain,has_capital_loss,work_intensity,is_full_time
90.0,Private,9.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,4356.0,40.0,United-States,<=50K,-4356.0,0,1,1.0,1
82.0,Private,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,4356.0,18.0,United-States,<=50K,-4356.0,0,1,0.45,0
66.0,Private,10.0,Widowed,Prof-specialty,Unmarried,Black,Female,0.0,4356.0,40.0,United-States,<=50K,-4356.0,0,1,1.0,1
54.0,Private,4.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,3900.0,40.0,United-States,<=50K,-3900.0,0,1,1.0,1
41.0,Private,10.0,Separated,Prof-specialty,Own-child,White,Female,0.0,3900.0,40.0,United-States,<=50K,-3900.0,0,1,1.0,1
34.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,3770.0,45.0,United-States,<=50K,-3770.0,0,1,1.125,1
38.0,Private,6.0,Separated,Adm-clerical,Unmarried,White,Male,0.0,3770.0,40.0,United-States,<=50K,-3770.0,0,1,1.0,1
74.0,State-gov,16.0,Never-married,Prof-specialty,Other-relative,White,Female,0.0,3683.0,20.0,United-States,>50K,-3683.0,0,1,0.5,0
68.0,Federal-gov,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,3683.0,40.0,United-States,<=50K,-3683.0,0,1,1.0,1
41.0,Private,10.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,3004.0,60.0,United-States,>50K,-3004.0,0,1,1.5,1
45.0,Private,16.0,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,3004.0,35.0,United-States,>50K,-3004.0,0,1,0.875,1
38.0,Self-emp-not-inc,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,2824.0,45.0,United-States,>50K,-2824.0,0,1,1.125,1
52.0,Private,13.0,Widowed,Other-service,Not-in-family,White,Female,0.0,2824.0,20.0,United-States,>50K,-2824.0,0,1,0.5,0
